PCI,latitude,longitude,device,rsrp
F,36.00124841,-78.93682463,Samsung,-106
C,35.99984541,-78.93713711,Samsung,-130
C,35.99975651,-78.93705178,Samsung,-123
F,36.00273183,-78.93573167,Samsung,-119
C,35.99976615,-78.93706607,Samsung,-127
D,35.99989709,-78.93718229,Samsung,-118
D,35.99987302,-78.93715597,Samsung,-118
C,35.99991223,-78.93720528,Samsung,-131
F,36.00231043,-78.94030682,Samsung,-111
E,36.00210359,-78.94008482,Samsung,-106
C,36.00067394,-78.93818374,Samsung,-112
E,36.00199547,-78.93989749,Samsung,-107
F,36.00320863,-78.93771209,Samsung,-101
E,36.00289774,-78.93709775,Samsung,-85
F,36.00188744,-78.93645953,Samsung,-98
D,36.00322985,-78.93765593,Samsung,-129
C,36.00087723,-78.93833263,Samsung,-107
A,35.99882108,-78.94065134,Samsung,-80
E,36.00035135,-78.93916433,Samsung,-108
B,35.9985731,-78.93946114,Samsung,-98
B,35.99921336,-78.93977933,Samsung,-106
C,36.00152332,-78.93767698,Samsung,-126
F,36.00051569,-78.93971068,Samsung,-130
C,36.0010934,-78.93865309,Samsung,-107
F,36.00365677,-78.93740327,Samsung,-113
F,36.00317804,-78.93900237,Samsung,-114
F,36.00368328,-78.93854563,Samsung,-125
D,36.00309999,-78.93767124,Samsung,-130
D,36.00428129,-78.93891638,Samsung,-121
E,36.00367588,-78.93843195,Samsung,-125
E,36.00304537,-78.93759929,Samsung,-100
F,36.00320003,-78.93774414,Samsung,-105
D,36.00310925,-78.93528992,Samsung,-121
D,36.00272598,-78.93558075,Samsung,-128
C,36.00234273,-78.93627771,Samsung,-128
E,36.00263887,-78.93638811,Samsung,-109
D,36.00242823,-78.93617358,Samsung,-129
F,36.00127072,-78.93683035,Samsung,-101
C,35.99987302,-78.93715597,Samsung,-131
C,36.0004831,-78.93762182,Samsung,-124
F,36.00136565,-78.93664808,Samsung,-111
D,36.00147752,-78.94115111,Samsung,-109
F,36.00138241,-78.93684409,Samsung,-106
D,36.00208856,-78.94156912,Samsung,-114
D,36.00154601,-78.94082898,Samsung,-102
C,36.0002556,-78.9374855,Samsung,-128
F,36.00131901,-78.93654525,Samsung,-110
F,36.00134084,-78.9368397,Samsung,-99
D,36.00198408,-78.94142262,Samsung,-113
C,36.00051893,-78.93768394,Samsung,-126
D,36.00021894,-78.93747781,Samsung,-114
F,36.00270959,-78.93582573,Samsung,-119
D,35.99975651,-78.93705178,Samsung,-115
F,36.00270752,-78.93548376,Samsung,-120
F,36.00272311,-78.93576928,Samsung,-118
D,36.00203155,-78.94149557,Samsung,-116
D,36.00205866,-78.9415429,Samsung,-112
C,36.00021894,-78.93747781,Samsung,-128
F,36.00263018,-78.93607715,Samsung,-118
D,36.00019755,-78.93747593,Samsung,-113
D,36.00146406,-78.94089506,Samsung,-111
F,36.00294861,-78.93718871,Samsung,-93
D,36.003003,-78.94174277,Samsung,-125
D,36.00211769,-78.94160003,Samsung,-113
D,36.00195678,-78.94138699,Samsung,-111
F,36.00253211,-78.9362153,Samsung,-120
D,36.00216676,-78.94166087,Samsung,-117
D,36.00257393,-78.94146038,Samsung,-118
D,36.00236208,-78.94196222,Samsung,-119
D,36.00213292,-78.94161231,Samsung,-116
D,36.0027909,-78.9420581,Samsung,-123
D,36.00241548,-78.94122551,Samsung,-112
D,36.00229155,-78.94186291,Samsung,-116
D,36.00298008,-78.94171279,Samsung,-122
D,36.00240421,-78.94200179,Samsung,-120
D,36.00266511,-78.94204924,Samsung,-122
D,36.0020665,-78.94087388,Samsung,-114
D,36.00294861,-78.93718871,Samsung,-113
D,36.00202739,-78.94089156,Samsung,-113
F,36.00258062,-78.93628164,Samsung,-118
D,36.00245114,-78.94202561,Samsung,-116
E,36.00066165,-78.93647351,Samsung,-130
F,36.00259175,-78.93609149,Samsung,-118
D,35.99977894,-78.93711562,Samsung,-114
D,36.00300918,-78.94176042,Samsung,-124
F,36.00252579,-78.93619416,Samsung,-118
D,36.00168376,-78.94084661,Samsung,-104
D,35.99994878,-78.93740371,Samsung,-114
D,36.00218493,-78.94084148,Samsung,-115
D,36.00211124,-78.94084813,Samsung,-115
D,36.00295546,-78.93721476,Samsung,-113
D,36.00263415,-78.94148668,Samsung,-116
D,36.00192691,-78.94096014,Samsung,-112
D,35.99977893,-78.93781156,Samsung,-102
D,36.00231728,-78.9419072,Samsung,-119
D,36.00242603,-78.94201359,Samsung,-118
C,36.003003,-78.94174277,Samsung,-133
C,35.99977284,-78.93708317,Samsung,-127
D,35.99978401,-78.93663343,Samsung,-110
D,36.00185893,-78.94127217,Samsung,-109
F,36.00255555,-78.93613324,Samsung,-118
D,36.00216328,-78.94083163,Samsung,-106
C,35.99976127,-78.93680387,Samsung,-127
C,36.00341647,-78.9411127,Samsung,-131
D,36.00235102,-78.94110241,Samsung,-118
D,35.99972981,-78.93781196,Samsung,-103
C,36.0034205,-78.94109113,Samsung,-134
D,36.00178588,-78.94121497,Samsung,-109
F,36.00135196,-78.93661238,Samsung,-110
D,35.99980401,-78.93781259,Samsung,-121
D,36.00142207,-78.9410583,Samsung,-111
C,36.00342722,-78.94098729,Samsung,-133
D,36.0020084,-78.9409027,Samsung,-109
D,35.99979708,-78.93784923,Samsung,-121
D,36.00218196,-78.94067687,Samsung,-124
C,36.00027624,-78.93749428,Samsung,-132
C,36.00342252,-78.94106425,Samsung,-132
D,36.00153633,-78.94118668,Samsung,-105
D,36.00214686,-78.94082987,Samsung,-114
D,36.00240808,-78.94120366,Samsung,-109
E,36.00114081,-78.93638961,Samsung,-123
D,36.00199095,-78.94089264,Samsung,-114
D,36.00259425,-78.94207334,Samsung,-119
D,36.00202022,-78.94086766,Samsung,-115
D,36.00228007,-78.94184149,Samsung,-114
D,36.00248174,-78.94135916,Samsung,-114
D,35.99980082,-78.9377888,Samsung,-101
D,36.00264071,-78.94205668,Samsung,-125
C,36.00298008,-78.94171279,Samsung,-133
D,36.00164792,-78.94082076,Samsung,-101
D,36.00194756,-78.94095586,Samsung,-110
D,35.9997822,-78.93665897,Samsung,-107
D,36.00213044,-78.94083968,Samsung,-113
D,36.00157066,-78.94081596,Samsung,-94
D,35.99977529,-78.93769592,Samsung,-100
D,36.00239728,-78.9411821,Samsung,-113
C,36.00343689,-78.94089524,Samsung,-137
C,35.99978401,-78.93663343,Samsung,-123
D,36.00216257,-78.94071016,Samsung,-120
D,36.00212073,-78.94076826,Samsung,-117
D,36.00193816,-78.94136616,Samsung,-111
D,36.00223158,-78.94062629,Samsung,-121
D,36.00247388,-78.94204016,Samsung,-114
E,36.00102477,-78.93644512,Samsung,-125
D,36.00210855,-78.9407788,Samsung,-116
D,36.00220016,-78.94065988,Samsung,-123
D,36.00189314,-78.94131356,Samsung,-112
D,36.00271565,-78.94154621,Samsung,-116
D,36.00215454,-78.94073417,Samsung,-121
D,36.00213868,-78.94075204,Samsung,-118
D,36.00192344,-78.94134677,Samsung,-112
F,36.00043931,-78.93647533,Samsung,-121
C,36.00052564,-78.9377188,Samsung,-126
F,36.00122351,-78.93640342,Samsung,-108
D,36.00221647,-78.94064533,Samsung,-126
D,36.00227922,-78.94058506,Samsung,-126
D,36.00204504,-78.94084173,Samsung,-117
D,36.00209481,-78.94078725,Samsung,-115
D,36.00224818,-78.9417982,Samsung,-117
D,36.00222385,-78.94087177,Samsung,-111
D,36.00224859,-78.94061359,Samsung,-125
D,36.00019012,-78.93653879,Samsung,-120
C,35.99982001,-78.93659035,Samsung,-114
C,36.00056324,-78.9378061,Samsung,-130
C,36.0002485,-78.93647392,Samsung,-121
F,36.00253319,-78.93616137,Samsung,-117
D,36.00223278,-78.94177768,Samsung,-116
D,36.00207832,-78.9408007,Samsung,-117
E,36.00043931,-78.93647533,Samsung,-133
D,36.00221368,-78.94086123,Samsung,-115
D,36.00027161,-78.9364846,Samsung,-126
D,36.00230512,-78.94188483,Samsung,-115
D,36.00292619,-78.93714674,Samsung,-113
D,36.00200023,-78.94144513,Samsung,-113
F,36.00140163,-78.93683445,Samsung,-94
D,35.99979032,-78.93661251,Samsung,-106
D,35.99972104,-78.93697843,Samsung,-110
C,35.99989538,-78.93660789,Samsung,-120
D,35.9997222,-78.93700164,Samsung,-113
D,35.99976615,-78.93706607,Samsung,-114
D,35.99972527,-78.93693553,Samsung,-108
D,36.00025769,-78.93647322,Samsung,-122
F,36.00135869,-78.93684193,Samsung,-102
D,36.00054013,-78.93776375,Samsung,-109
D,36.0004306,-78.93757999,Samsung,-110
D,36.00052564,-78.9377188,Samsung,-110
D,36.0000309,-78.93739803,Samsung,-116
C,35.99972527,-78.93693553,Samsung,-127
C,36.00343841,-78.94086753,Samsung,-139
D,35.99976764,-78.93669927,Samsung,-109
C,35.99983588,-78.93659067,Samsung,-114
F,36.00140742,-78.93679619,Samsung,-106
F,36.00024631,-78.93649945,Samsung,-139
D,36.00057698,-78.93782579,Samsung,-113
D,35.9998749,-78.93659522,Samsung,-119
C,36.00053074,-78.93774371,Samsung,-126
D,36.00062261,-78.93789202,Samsung,-112
D,35.99975224,-78.93685488,Samsung,-111
D,36.00054942,-78.93778629,Samsung,-110
D,36.00234205,-78.94195011,Samsung,-119
