centroid_lon,centroid_lat,height,base_height,height_above_ground
-74.00161432018731,40.717543205412106,16.3,0.0,16.3
-74.0053836087527,40.717719690128824,17.5,0.0,17.5
-74.0014149873217,40.71779310888705,35.6,0.0,35.6
-74.0049098336528,40.71751499279786,24.6,0.0,24.6
-74.0030861101267,40.71739310161582,46.5,0.0,46.5
-74.0020810614231,40.71783260790674,26.7,0.0,26.7
-74.00548114079966,40.71770044748914,23.3,0.0,23.3
-74.00399983344363,40.7175064247586,29.7,0.0,29.7
-74.00210869587947,40.71698121990333,29.7,0.0,29.7
-74.00378898113763,40.71772944832807,28.3,0.0,28.3
-74.00369130755925,40.71784503182625,67.5,0.0,67.5
-74.00432447419746,40.71714235590169,44.5,0.0,44.5
-74.00353527936265,40.716805268768624,48.5,0.0,48.5
-74.00232838748009,40.71567802780351,21.0,0.0,21.0
-74.00143087301578,40.71682281343757,10.5,0.0,10.5
-73.9999307211664,40.717317827924866,38.4,0.0,38.4
-74.00007033495845,40.71486429231488,6.6,0.0,6.6
-74.00046457398606,40.7165169932676,71.5,0.0,71.5
-74.00057398860456,40.71637428326517,17.5,0.0,17.5
-73.99996050848037,40.71769595099298,8.0,0.0,8.0
-74.00665003176054,40.71749113987983,24.4,0.0,24.4
-74.00712751014028,40.717686907179534,18.2,0.0,18.2
-74.00700588340014,40.717660034856074,23.8,0.0,23.8
-74.00692066402168,40.71762092939632,24.8,0.0,24.8
-74.00648898157259,40.71741937701539,22.5,0.0,22.5
-74.00673882568368,40.717820688404714,35.9,0.0,35.9
-74.00632151568594,40.71735078817939,43.2,0.0,43.2
-74.00338548689362,40.71635707841527,60.7,0.0,60.7
-74.0061591564716,40.715352354144315,14.8,0.0,14.8
-74.00627280803425,40.715403360876486,15.1,0.0,15.1
-74.00636750289151,40.71541555775398,22.7,0.0,22.7
-74.00648723430866,40.71546929137229,30.1,0.0,30.1
-74.00676316584239,40.71558274624115,21.8,0.0,21.8
-74.0068867451347,40.71562788148346,19.6,0.0,19.6
-74.0059786806565,40.716041241339035,9.4,0.0,9.4
-74.00616509091698,40.71606075125007,9.3,0.0,9.3
-74.0054487525832,40.71564969448879,21.8,0.0,21.8
-74.00537314990046,40.71573575006811,24.5,0.0,24.5
-74.00511118749624,40.71604485919956,27.6,0.0,27.6
-74.00475783877395,40.716709755313516,8.0,0.0,8.0
-74.00635015083164,40.7151040831259,26.2,0.0,26.2
-74.00646526210032,40.71515577930944,21.1,0.0,21.1
-74.00654752957773,40.71518886957681,21.4,0.0,21.4
-74.00666879842575,40.715235567507726,20.5,0.0,20.5
-74.00699669498152,40.715369167730486,21.4,0.0,21.4
-74.00541163401567,40.7172693549815,29.1,0.0,29.1
-74.00662652323426,40.714560218035295,21.5,0.0,21.5
-74.00670801245587,40.71458320813785,22.3,0.0,22.3
-74.00557623424348,40.71584312977477,22.6,0.0,22.6
-74.00375679113402,40.71482805899869,33.2,0.0,33.2
-74.00526060334539,40.71708223379648,22.8,0.0,22.8
-74.00725520940394,40.71496715561697,31.7,0.0,31.7
-74.00635299256562,40.714617620137645,17.5,0.0,17.5
-74.00583866291974,40.71580888781672,17.5,0.0,17.5
-74.00625596625551,40.71469830834548,26.1,0.0,26.1
-74.00401003804873,40.7151042243839,14.0,0.0,14.0
-74.00694370456097,40.71481943350144,20.2,0.0,20.2
-74.00533703795496,40.71582015483312,9.7,0.0,9.7
-74.00658130043064,40.71614270006387,60.7,0.0,60.7
-74.00646494277764,40.71444200353147,68.5,0.0,68.5
-74.0068640609956,40.714787204511666,20.5,0.0,20.5
-74.00520129875586,40.71596338443677,20.2,0.0,20.2
-74.00705231255121,40.715692829836854,20.0,0.0,20.0
-74.00519971379292,40.71684164805695,22.8,0.0,22.8
-74.00719334347676,40.71546397882762,23.2,0.0,23.2
-74.00348946214,40.716057894421205,57.7,0.0,57.7
-74.0048614961331,40.71662619089925,48.0,0.0,48.0
-74.0056480537337,40.7173549262156,51.5,0.0,51.5
-74.006713666468,40.71473368192991,9.5,0.0,9.5
-74.00605768867965,40.71494839753327,84.7,0.0,84.7
-74.00459793959187,40.71566219721841,9.8,0.0,9.8
-74.0056819625127,40.71705096007742,29.0,0.0,29.0
-74.00405875069451,40.71636102252051,49.4,0.0,49.4
-74.00495455812916,40.71622797122833,24.8,0.0,24.8
-74.00671681094884,40.71544050500137,30.4,0.0,30.4
-74.00470124440255,40.71691778321816,70.7,0.0,70.7
-74.00559832739437,40.71553184227372,58.1,0.0,58.1
-74.00591447839626,40.71517737866879,71.5,0.0,71.5
-74.00625957326238,40.71764526369135,250.0,0.0,250.0
-74.0072110932674,40.716562896842696,26.2,0.0,26.2
-74.00708771179842,40.71637991571476,21.7,0.0,21.7
-74.00720794958963,40.71642901228055,27.6,0.0,27.6
